ID,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,v20,v21,v22,V23,V24,V25,v26,V27,v28
78,2,0,9,2,1,17,16,1,1,0,1,2,0,0,0.5,0.167507194,0.253635825,0.413580247,1,0.058025429,0,0,0,0,0,0,0,0,0.120614884
79,2,0,9,2,2,9,9,2,1,0,3,4,0,0,0.5,0.313551965,0.394830103,0.283950617,1,0.126717297,0,0,0,0,0,0,0,0,0.187466655
80,2,0,9,2,9,17,16,1,1,0,1,2,0,0,0.5,0.10621211,0.217033102,0.407407407,1,0.000938647,0,0,0,0,0,0,0,0,0.107554415
81,2,0,9,2,2,13,12,4,2,0,3,4,0,0,0.5,0.345963467,0.454130324,0.25308642,1,0.181841454,0,0,0,0,0,0,1,0,0.276345001
82,2,0,9,2,1,17,16,1,1,0,1,2,0,0,0.5,0.288036296,0.361320754,0.320987654,1,0.104019114,0,0,0,0,0,0,1,0,0.215798562
83,2,0,9,2,6,8,8,10,5,0,8,14,0.5,0,0.5,0.391696113,0.468201644,0.283950617,1,0.257957164,1,0,0,0,0,0,1,0,0.326751372
84,2,1,10,3,4,19,18,8,4,0,3,4,0,0,1,0.718421347,0.739077994,0.135802469,1,0.511733083,1,1,0,1,1,1,1,0,0.646133934
85,2,1,10,3,7,15,14,14,6,0,5,9,0,0,1,0.749702218,0.760346755,0.148148148,1,0.62607731,1,1,0,1,1,1,1,1,0.690407087
86,2,1,11,1,6,20,8,10,5,0,8,14,0.5,0,1,0.456861894,0.518546357,0.290123457,1,0.387234406,1,1,0,1,1,1,1,0,0.531055205
87,2,0,11,1,3,23,13,5,3,0,1,2,0,1,1,0.345963467,0.555060558,0.209876543,1,0.290212475,1,1,0,1,1,1,1,0,0.537166341
88,2,0,11,1,2,13,12,4,2,0,3,4,0,0,0.5,0.342534454,0.422329501,0.271604938,1,0.15342606,1,0,0,0,0,0,1,0,0.324730317
89,2,0,11,1,2,13,12,4,2,0,3,4,0,0,0.5,0.342534454,0.387633871,0.314814815,1,0.157521973,1,0,0,0,0,0,0,0,0.288650566
90,2,0,11,1,2,21,12,4,2,0,3,4,0,0,0.5,0.354309473,0.400898055,0.345679012,1,0.22783514,1,0,0,0,0,0,1,0,0.375180327
91,2,0,11,1,2,22,12,4,2,0,3,4,0,0.5,0.5,0.395992347,0.490344635,0.259259259,1,0.259919788,1,0,0,1,1,1,1,0,0.447326625
92,2,0,11,1,3,23,13,5,3,0,3,4,0,0,0.5,0.474940402,0.526071069,0.290123457,1,0.390903661,1,1,0,1,1,1,1,0,0.482619519
93,2,0,12,2,2,21,12,4,2,0,3,4,0,0,0.5,0.363362273,0.434451991,0.277777778,1,0.18158546,0,0,0,0,0,0,1,0,0.337110653
94,2,0,12,2,2,13,12,4,2,0,1,2,0,0,0.5,0.342534454,0.387633871,0.327160494,1,0.173820292,1,0,0,0,0,0,1,0,0.284108603
95,2,0,12,2,2,13,12,4,2,0,3,4,0,0,0.5,0.33264446,0.368197329,0.333333333,1,0.146343545,0,0,0,0,0,0,1,0,0.303732933
96,2,0,12,2,8,15,14,14,6,0,5,9,0,0,0.5,0.318161155,0.434795592,0.277777778,1,0.179281509,1,0,0,0,0,0,1,1,0.271982629
97,2,0,12,2,8,13,12,4,2,0,5,7,0,0.5,0,0.343697985,0.407147164,0.37037037,1,0.274255483,0,0,0,0,0,0,0,1,0.325683109
98,2,0,12,2,8,24,19,4,2,0,5,9,0,0,0.5,0.331008924,0.38610161,0.388888889,1,0.257530506,0,0,0,0,0,0,1,1,0.277012186
99,2,0,13,2,6,16,15,12,5,0,8,14,0.5,1,1,0.504221484,0.584630275,0.290123457,1,0.556788122,1,1,0,1,1,1,1,0,0.530937033
